image,steering
IMG/center_2016_12_01_13_31_14_092.jpg,0.0
IMG/left_2016_12_01_13_31_14_092.jpg,0.0
IMG/right_2016_12_01_13_31_14_092.jpg,0.0
IMG/center_2016_12_01_13_31_15_106.jpg,0.0
IMG/left_2016_12_01_13_31_15_106.jpg,0.0
IMG/right_2016_12_01_13_31_15_106.jpg,0.0
IMG/center_2016_12_01_13_32_43_457.jpg,0.061759900000000006
IMG/left_2016_12_01_13_32_43_457.jpg,0.061759900000000006
IMG/right_2016_12_01_13_32_43_457.jpg,0.061759900000000006
IMG/center_2016_12_01_13_32_43_659.jpg,0.05219137
IMG/left_2016_12_01_13_32_43_659.jpg,0.05219137
IMG/right_2016_12_01_13_32_43_659.jpg,0.05219137
IMG/center_2016_12_01_13_32_43_761.jpg,0.3679529
IMG/left_2016_12_01_13_32_43_761.jpg,0.3679529
IMG/right_2016_12_01_13_32_43_761.jpg,0.3679529
IMG/center_2016_12_01_13_32_43_862.jpg,0.5784606
IMG/left_2016_12_01_13_32_43_862.jpg,0.5784606
IMG/right_2016_12_01_13_32_43_862.jpg,0.5784606
IMG/center_2016_12_01_13_32_43_963.jpg,0.5784606
IMG/left_2016_12_01_13_32_43_963.jpg,0.5784606
IMG/right_2016_12_01_13_32_43_963.jpg,0.5784606
IMG/center_2016_12_01_13_32_44_974.jpg,0.0
IMG/left_2016_12_01_13_32_44_974.jpg,0.0
IMG/right_2016_12_01_13_32_44_974.jpg,0.0
IMG/center_2016_12_01_13_32_45_275.jpg,0.08089697
IMG/left_2016_12_01_13_32_45_275.jpg,0.08089697
IMG/right_2016_12_01_13_32_45_275.jpg,0.08089697
IMG/center_2016_12_01_13_32_45_780.jpg,0.1765823
IMG/left_2016_12_01_13_32_45_780.jpg,0.1765823
IMG/right_2016_12_01_13_32_45_780.jpg,0.1765823
IMG/center_2016_12_01_13_32_46_185.jpg,-0.0787459
IMG/left_2016_12_01_13_32_46_185.jpg,-0.0787459
IMG/right_2016_12_01_13_32_46_185.jpg,-0.0787459
IMG/center_2016_12_01_13_32_46_285.jpg,-0.0787459
IMG/left_2016_12_01_13_32_46_285.jpg,-0.0787459
IMG/right_2016_12_01_13_32_46_285.jpg,-0.0787459
IMG/center_2016_12_01_13_32_46_991.jpg,0.05219137
IMG/left_2016_12_01_13_32_46_991.jpg,0.05219137
IMG/right_2016_12_01_13_32_46_991.jpg,0.05219137
IMG/center_2016_12_01_13_32_47_091.jpg,0.05219137
IMG/left_2016_12_01_13_32_47_091.jpg,0.05219137
IMG/right_2016_12_01_13_32_47_091.jpg,0.05219137
IMG/center_2016_12_01_13_32_47_192.jpg,0.09046549999999999
IMG/left_2016_12_01_13_32_47_192.jpg,0.09046549999999999
IMG/right_2016_12_01_13_32_47_192.jpg,0.09046549999999999
IMG/center_2016_12_01_13_32_47_293.jpg,0.38709
IMG/left_2016_12_01_13_32_47_293.jpg,0.38709
IMG/right_2016_12_01_13_32_47_293.jpg,0.38709
IMG/center_2016_12_01_13_32_47_394.jpg,0.3583844
IMG/left_2016_12_01_13_32_47_394.jpg,0.3583844
IMG/right_2016_12_01_13_32_47_394.jpg,0.3583844
IMG/center_2016_12_01_13_32_47_495.jpg,0.05219137
IMG/left_2016_12_01_13_32_47_495.jpg,0.05219137
IMG/right_2016_12_01_13_32_47_495.jpg,0.05219137
IMG/center_2016_12_01_13_32_48_098.jpg,-0.03127411
IMG/left_2016_12_01_13_32_48_098.jpg,-0.03127411
IMG/right_2016_12_01_13_32_48_098.jpg,-0.03127411
IMG/center_2016_12_01_13_32_48_200.jpg,-0.05975719
IMG/left_2016_12_01_13_32_48_200.jpg,-0.05975719
IMG/right_2016_12_01_13_32_48_200.jpg,-0.05975719
IMG/center_2016_12_01_13_32_48_302.jpg,-0.05975719
IMG/left_2016_12_01_13_32_48_302.jpg,-0.05975719
IMG/right_2016_12_01_13_32_48_302.jpg,-0.05975719
IMG/center_2016_12_01_13_32_49_210.jpg,-0.04076847
IMG/left_2016_12_01_13_32_49_210.jpg,-0.04076847
IMG/right_2016_12_01_13_32_49_210.jpg,-0.04076847
IMG/center_2016_12_01_13_32_49_919.jpg,0.0
IMG/left_2016_12_01_13_32_49_919.jpg,0.0
IMG/right_2016_12_01_13_32_49_919.jpg,0.0
IMG/center_2016_12_01_13_32_51_538.jpg,0.1287396
IMG/left_2016_12_01_13_32_51_538.jpg,0.1287396
IMG/right_2016_12_01_13_32_51_538.jpg,0.1287396
IMG/center_2016_12_01_13_32_51_639.jpg,0.21485639999999998
IMG/left_2016_12_01_13_32_51_639.jpg,0.21485639999999998
IMG/right_2016_12_01_13_32_51_639.jpg,0.21485639999999998
IMG/center_2016_12_01_13_32_51_740.jpg,0.21485639999999998
IMG/left_2016_12_01_13_32_51_740.jpg,0.21485639999999998
IMG/right_2016_12_01_13_32_51_740.jpg,0.21485639999999998
IMG/center_2016_12_01_13_32_52_350.jpg,-0.08824026
IMG/left_2016_12_01_13_32_52_350.jpg,-0.08824026
IMG/right_2016_12_01_13_32_52_350.jpg,-0.08824026
IMG/center_2016_12_01_13_32_52_450.jpg,-0.23065560000000002
IMG/left_2016_12_01_13_32_52_450.jpg,-0.23065560000000002
IMG/right_2016_12_01_13_32_52_450.jpg,-0.23065560000000002
IMG/center_2016_12_01_13_32_52_551.jpg,-0.23065560000000002
IMG/left_2016_12_01_13_32_52_551.jpg,-0.23065560000000002
IMG/right_2016_12_01_13_32_52_551.jpg,-0.23065560000000002
IMG/center_2016_12_01_13_32_52_753.jpg,-0.0787459
IMG/left_2016_12_01_13_32_52_753.jpg,-0.0787459
IMG/right_2016_12_01_13_32_52_753.jpg,-0.0787459
IMG/center_2016_12_01_13_32_53_055.jpg,0.04262284
IMG/left_2016_12_01_13_32_53_055.jpg,0.04262284
IMG/right_2016_12_01_13_32_53_055.jpg,0.04262284
IMG/center_2016_12_01_13_32_53_459.jpg,0.2531306
IMG/left_2016_12_01_13_32_53_459.jpg,0.2531306
IMG/right_2016_12_01_13_32_53_459.jpg,0.2531306
IMG/center_2016_12_01_13_32_53_865.jpg,-0.2781274
IMG/left_2016_12_01_13_32_53_865.jpg,-0.2781274
IMG/right_2016_12_01_13_32_53_865.jpg,-0.2781274
IMG/center_2016_12_01_13_32_53_966.jpg,-0.32559920000000003
IMG/left_2016_12_01_13_32_53_966.jpg,-0.32559920000000003
IMG/right_2016_12_01_13_32_53_966.jpg,-0.32559920000000003
IMG/center_2016_12_01_13_32_54_067.jpg,-0.2591387
IMG/left_2016_12_01_13_32_54_067.jpg,-0.2591387
IMG/right_2016_12_01_13_32_54_067.jpg,-0.2591387
IMG/center_2016_12_01_13_32_54_472.jpg,0.04262284
IMG/left_2016_12_01_13_32_54_472.jpg,0.04262284
IMG/right_2016_12_01_13_32_54_472.jpg,0.04262284
IMG/center_2016_12_01_13_32_54_574.jpg,0.09046549999999999
IMG/left_2016_12_01_13_32_54_574.jpg,0.09046549999999999
IMG/right_2016_12_01_13_32_54_574.jpg,0.09046549999999999
IMG/center_2016_12_01_13_32_54_775.jpg,0.243562
IMG/left_2016_12_01_13_32_54_775.jpg,0.243562
IMG/right_2016_12_01_13_32_54_775.jpg,0.243562
IMG/center_2016_12_01_13_32_54_875.jpg,0.2626991
IMG/left_2016_12_01_13_32_54_875.jpg,0.2626991
IMG/right_2016_12_01_13_32_54_875.jpg,0.2626991
IMG/center_2016_12_01_13_32_54_976.jpg,0.2626991
IMG/left_2016_12_01_13_32_54_976.jpg,0.2626991
IMG/right_2016_12_01_13_32_54_976.jpg,0.2626991
IMG/center_2016_12_01_13_32_55_078.jpg,0.2626991
IMG/left_2016_12_01_13_32_55_078.jpg,0.2626991
IMG/right_2016_12_01_13_32_55_078.jpg,0.2626991
IMG/center_2016_12_01_13_32_55_988.jpg,-0.06925154
IMG/left_2016_12_01_13_32_55_988.jpg,-0.06925154
IMG/right_2016_12_01_13_32_55_988.jpg,-0.06925154
IMG/center_2016_12_01_13_32_56_191.jpg,-0.05975719
IMG/left_2016_12_01_13_32_56_191.jpg,-0.05975719
IMG/right_2016_12_01_13_32_56_191.jpg,-0.05975719
IMG/center_2016_12_01_13_32_57_203.jpg,0.1670138
IMG/left_2016_12_01_13_32_57_203.jpg,0.1670138
IMG/right_2016_12_01_13_32_57_203.jpg,0.1670138
IMG/center_2016_12_01_13_32_57_304.jpg,0.3488158
IMG/left_2016_12_01_13_32_57_304.jpg,0.3488158
IMG/right_2016_12_01_13_32_57_304.jpg,0.3488158
IMG/center_2016_12_01_13_32_57_405.jpg,0.3488158
